"Jeg har læst og er indforstået med ovenstående ";"Generel information - Hvor gammel er du?";"Generel information - Hvad er dit køn?";"Generel information - Er du farveblind?";"Brætspilshistorik   - Jeg har før spillet brætspillet ""Tang Garden""";"Brætspilshistorik   - Jeg har før spillet brætspillet ""Photosynthesis""";"Brætspilshistorik   - Jeg har før spillet brætspillet ""Haven""";"Brætspilshistorik fortsat - I gennemsnit spiller jeg brætspil ...";"Brætspilshistorik fortsat - Jeg oplever ofte at have svært ved at forstå regler til brætspil";"Brætspilshistorik fortsat - Jeg oplever ofte at have svært ved at huske regler eller at komme til at sammenblande regler til brætspil";"Venligst indtast et unikt ID. Det kan være en kombination af bogstaver og tal.   Sørg derefter for at kopiere dit unikke ID.  VIGTIGT: Du skal indtaste det samme identiske ID i starten af den undersøgelse, som du bliver ledt videre til på næste side.";"E-mail";"Samlet status - Ny";"Samlet status - Distribueret";"Samlet status - Nogen svar";"Samlet status - Gennemført";"Samlet status - Frafaldet"
"Ja";22;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Uenig";"Uenig";"gyiu98";"";0;0;0;1;0
"Ja";61;"Mand";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Hverken eller";"Hverken eller";"Jegor62";"";0;0;0;1;0
"Ja";28;"Mand";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Enig";"Uenig";"au691988";"";0;0;0;1;0
"Ja";24;"Mand";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Hverken eller";"Enig";"111223";"";0;0;0;1;0
"Ja";26;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Halvårligt";"Uenig";"Hverken eller";"Lou97";"";0;0;0;1;0
"Ja";18;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Halvårligt";"Uenig";"Enig";"jyd78nhg79";"";0;0;0;1;0
"Ja";23;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Meget uenig";"Meget uenig";"251100";"";0;0;0;1;0
"Ja";23;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Sjældnere";"Hverken eller";"Hverken eller";"3FFG54E";"";0;0;0;1;0
"Ja";22;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Halvårligt";"Hverken eller";"Enig";"";"";0;0;1;0;0
"Ja";24;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Hverken eller";"Enig";"YES123";"";0;0;0;1;0
"Ja";56;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Uenig";"Hverken eller";"Ben24jada";"";0;0;0;1;0
"Ja";26;"Mand";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Enig";"Uenig";"579998";"";0;0;0;1;0
"Ja";26;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Uenig";"Uenig";"M123";"";0;0;0;1;0
"Ja";25;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Enig";"Meget enig";"hej7";"";0;0;0;1;0
"Ja";24;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Enig";"Enig";"eae24";"";0;0;0;1;0
;;;;;;;;;;"";"";0;1;0;0;0
"Ja";;;;;;;;;;"";"";0;0;1;0;0
"Ja";25;"Mand";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Uenig";"Hverken eller";"Lynge31";"";0;0;0;1;0
"Ja";24;"Kvinde";"Nej";"Ja";"Ja";"Ja";"Ugentligt eller hyppigere";"Hverken eller";"Meget enig";"tohitu1";"";0;0;0;1;0
"Ja";23;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Sjældnere";"Meget enig";"Meget enig";"KJ19";"";0;0;0;1;0
"Ja";24;"Kvinde";"Nej";"Nej";"Ja";"Nej";"Månedligt";"Meget enig";"Hverken eller";"haps123";"";0;0;0;1;0
"Ja";26;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Månedligt";"Uenig";"Hverken eller";"erew326adw";"";0;0;0;1;0
"Ja";23;"Mand";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Uenig";"Hverken eller";"yay";"";0;0;0;1;0
"Ja";23;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Halvårligt";"Hverken eller";"Hverken eller";"K5gu78";"";0;0;0;1;0
"Ja";25;"Mand";"Nej";"Nej";"Nej";"Nej";"Halvårligt";"Uenig";"Uenig";"abcabc";"";0;0;0;1;0
"Ja";31;"Mand";"Nej";"Nej";"Nej";"Nej";"Sjældnere";"Hverken eller";"Enig";"OMY618";"";0;0;0;1;0
"Ja";99;"Andet";"Usikker";;;;;;;"";"";0;0;1;0;0
"Ja";27;"Kvinde";"Ja";"Nej";"Nej";"Nej";"Månedligt";"Uenig";"Uenig";"M1240M";"";0;0;0;1;0
"Ja";17;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Enig";"Enig";"HØNS112";"";0;0;0;1;0
"Ja";56;"Andet";"Nej";"Nej";"Nej";"Nej";"Sjældnere";"Meget uenig";"Meget uenig";"";"";0;0;1;0;0
"Ja";24;"Mand";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Uenig";"Uenig";"DBF47";"";0;0;0;1;0
"Ja";23;"Mand";"Nej";"Nej";"Nej";"Nej";;;;"";"";0;0;1;0;0
"Ja";19;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Hver tredje måned";"Enig";"Enig";"brætspil33445";"";0;0;0;1;0
"Ja";24;"Mand";"Nej";"Ja";"Ja";"Ja";"Ugentligt eller hyppigere";"Meget uenig";"Uenig";"KleinOgAbel";"";0;0;0;1;0
"Ja";28;"Mand";"Nej";"Nej";"Nej";"Nej";"Ugentligt eller hyppigere";"Uenig";"Meget uenig";"427569";"";0;0;0;1;0
"Ja";23;"Kvinde";"Nej";"Nej";"Nej";"Nej";"Ugentligt eller hyppigere";"Uenig";"Hverken eller";"Sommerfugl";"";0;0;0;1;0
