consent;age;gender;colorblind;played_tang;played_photo;played_haven;freq_game;diff_understand;diff_remember;id;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
1;22;1;2;4;4;4;2;4;4;"gyiu98";"";0;0;0;1;0
1;61;2;2;4;4;4;2;3;3;"Jegor62";"";0;0;0;1;0
1;;;;;;;;;;"";"";0;0;1;0;0
1;28;2;2;4;4;4;3;2;4;"au691988";"";0;0;0;1;0
1;24;2;2;4;4;4;2;3;2;"111223";"";0;0;0;1;0
1;26;1;2;4;4;4;4;4;3;"Lou97";"";0;0;0;1;0
1;18;1;2;4;4;4;4;4;2;"jyd78nhg79";"";0;0;0;1;0
1;27;1;2;4;4;4;2;4;3;"42uniqueohyesiamunique42";"";0;0;0;1;0
1;23;1;2;4;4;4;3;5;5;"251100";"";0;0;0;1;0
1;23;1;2;4;4;4;3;4;3;"HYGG3";"";0;0;0;1;0
1;19;1;2;4;4;4;2;2;2;"lolhest123";"";0;0;0;1;0
1;23;1;2;4;4;4;5;3;3;"3FFG54E";"";0;0;0;1;0
1;22;1;2;4;4;4;4;3;2;"";"";0;0;1;0;0
1;24;1;2;4;4;4;2;3;2;"YES123";"";0;0;0;1;0
1;56;1;2;4;4;4;2;4;3;"Ben24jada";"";0;0;0;1;0
1;;;;;;;;;;"";"";0;0;1;0;0
1;26;2;2;4;4;4;3;2;4;"579998";"";0;0;0;1;0
1;26;1;2;4;4;4;3;4;4;"M123";"";0;0;0;1;0
1;22;1;2;4;4;4;2;4;4;"NK56D6";"";0;0;0;1;0
1;25;1;2;4;4;4;2;2;1;"hej7";"";0;0;0;1;0
1;24;1;2;4;4;4;2;2;2;"eae24";"";0;0;0;1;0
;;;;;;;;;;"";"";0;1;0;0;0
1;;;;;;;;;;"";"";0;0;1;0;0
1;25;2;2;4;4;4;3;4;3;"Lynge31";"";0;0;0;1;0
1;24;1;2;5;5;5;1;3;1;"tohitu1";"";0;0;0;1;0
1;22;2;2;4;4;4;4;3;4;"2348";"";0;0;0;1;0
1;22;2;2;4;4;4;2;4;4;"23qaz";"";0;0;0;1;0
1;23;1;2;4;4;4;5;1;1;"KJ19";"";0;0;0;1;0
1;24;1;2;4;5;4;2;2;1;"hej1721";"";0;0;0;1;0
1;26;2;2;4;4;4;1;4;2;"asdvknaæksjndvæjn";"";0;0;0;1;0
1;24;1;2;4;5;4;2;1;3;"haps123";"";0;0;0;1;0
1;26;1;2;4;4;4;2;4;3;"erew326adw";"";0;0;0;1;0
1;21;1;2;4;4;4;4;4;3;"4567";"";0;0;0;1;0
1;23;2;2;4;4;4;3;4;3;"yay";"";0;0;0;1;0
1;23;1;2;4;4;4;4;3;3;"K5gu78";"";0;0;0;1;0
1;25;2;2;4;4;4;4;4;4;"abcabc";"";0;0;0;1;0
1;31;2;2;4;4;4;5;3;2;"OMY618";"";0;0;0;1;0
1;99;3;3;;;;;;;"";"";0;0;1;0;0
1;27;1;1;4;4;4;2;4;4;"M1240M";"";0;0;0;1;0
1;17;1;2;4;4;4;3;2;2;"HØNS112";"";0;0;0;1;0
1;56;3;2;4;4;4;5;5;5;"";"";0;0;1;0;0
1;24;2;2;4;4;4;3;4;4;"DBF47";"";0;0;0;1;0
1;23;2;2;4;4;4;;;;"";"";0;0;1;0;0
1;19;1;2;4;4;4;3;2;2;"brætspil33445";"";0;0;0;1;0
1;24;2;2;5;5;5;1;5;4;"KleinOgAbel";"";0;0;0;1;0
1;28;2;2;4;4;4;1;4;5;"427569";"";0;0;0;1;0
1;23;1;2;4;4;4;1;4;3;"Sommerfugl";"";0;0;0;1;0
